,No.,Title,Author,Size,Year,Category,Description
339,2028,"Map of the Principal Part of Chicago (and on
  opposite side) Railway Terminal Map of Chicago. (2 sections)","Chicago Association of Commerce / Rand McNally
  and Co.","35""x10.5""",1909,Chicago," Copy #1
  in 2 sections Copy #2
  torn along creases; poor condition Front
  side: Map of Chicago showing streets with numbering, railroads, parks and
  boulevards in green.  Also marks team
  tracks.  Index to railroads on right
  side.  S to 71st, W to Harding, N to
  Irving Park Rd. Map on
  alphanumeric grid. Other
  side: Railway terminal map of Chicago. 
  Shows major streets, rail lines, and stations. North side in red, West
  in yellow, North in orange.  Parks and
  boulevards in green.  On alphanumeric
  grid. Scale:
  1"" = 1 mile In upper
  right: Street map of central Chicago, S to 27th, W to Paulina, N to
  Webster.  Also noted rail stations and
  landmarks in Loop area."
340,2029,New Street Number Guide Map of Chicago.,Rand McNally and Co.,"Double-sides, in 2 pieces.",1909,Chicago," One
  side total: 21.25""x26.5"" Map of
  Chicago showing streets and rail lines. Parks and boulevards in green.  N to Howard, W to Lathrop, S to 138th. Map on
  alphanumeric grid. Right
  margin: Legend and Index to railroads. 
  Notes  Team Tracks and
  Merchant's Lighterage Co.'s docks Scale:
  1.75"" = 1 mile"
341,2222,"Map of Chicago and Suburbs showing ward,
  congressional and senatorial districts","Blanchard, Rufus","Laminated. 24""x37.5""",1909,Chicago," Map of
  Chicago showing streets and railways. 
  Wards numbered and outlines in red.  
  Congressional districts in green. 
  State senatorial districts in blue. Map on
  alphanumeric grid. Legend at right listing names of senators,
  representatives, and city councilmen for each area. Lower
  left: Map of portions of Cook, DuPage, Kane, Kendall, and Will Counties
  showing congressional and state senatorial districts.  Chicago city in red. Upper
  right: Map of Lake Shore north of Chicago, Evanston to Kenilworth, with state
  senate and congressional boundaries marked."
342,2237,(Map of new street numbering),Chicago Title and Trust Co.,"12""x9""",1909,Chicago," Map of
  Chicago streets on grid, showing conversion of street names. On
  backside: text of ""An Ordinance to provide for the numbering of lots or
  houses in the city of Chicago..."""
343,2238,"Map showing the New House Numbering System in
  the City of Chicago","Bureau of Maps 
  & Plats/ Jno. D. Riley","Laminated. 14""x9.75""",1909,Chicago," Map
  showing city of Chicago with grid of major streets and axis, plus parks and
  wards outlined in red.  Border list
  changes in street naming.  Additional
  notes on house number ordinance, base lines, prefixes, and diagonal streets
  on left side. Gift:
  Outdoor Advertising Co. of America, 9/1959"
344,2030,"Map of Chicago--South of 39th Street (and on
  opposite side) Map of Chicago--North of 39th Street",Chicago Directory Co.,"In 2 pieces, double-sided.",1910,Chicago," One
  side: 26.25""x28.25"" Map of
  Chicago streets, railroads, showing city limits and neighborhood names.  Radius from city center in miles.  Parks and boulevards in green.  S to 138th, W to Harlem, N to Howard. Map on
  alphanumeric grid. Scale:
  1"" = 1/2 mile"
345,2031,New Street Number Guide Map of Chicago.,Rand McNally and Co.,"In 2 pieces, double-sided.",1910,Chicago," One
  side total: 21""x27"" Map of
  Chicago showing streets and rail lines. Parks and boulevards in green.  City borders in red.  N to Howard, W to Lathrop, S to 138th. Map on
  alphanumeric grid. Right
  margin: Legend and Index to railroads. 
  Notes  Team Tracks and Merchant
  Lighterage Co.'s docks Scale:
  1.75"" = 1 mile"
346,2032,New Street Number Guide Map of Chicago.,Rand McNally and Co.,"In 4 pieces, double-sided.  In white folder.",1910,Chicago," One
  side total: 34.5""x29.25"" Map of
  Chicago showing streets and rail lines. Parks and boulevards in green.  City borders in red. Elevated tracks in
  red.  Also marks good locations for
  manufacturing.  N to Howard, W to
  Lathrop, S to 138th. Map on
  alphanumeric grid. Right
  margin: Legend and Index to railroads. 
  Notes  Team Tracks and Merchant
  Lighterage Co.'s docks Scale:
  2.5"" = 1 mile"
347,2033,Standard Map of Chicago,Rand McNally and Co.,"4 pieces totaling
  46.5""x81.75""",1910,Chicago," Map of
  Chicago streets with numbering, railroads. 
  N to Central, S to 158th, SW to Orland Park, NW to Des Plaines.  Parks and boulevards in green.  City borders in red.  Team tracks in green. Map on
  alphanumeric grid.  Right margin: index
  to railroad depots. Scale:
  2.5""= 1 mile"
348,2318,(Map of Chicago central business district),Rand McNally and Co.,"22""x26.5""",1910,Chicago," Map
  showing streets, buildings, depots, and rail lines.  S to 16th, W to Halsted, N to Kinzie.
  Streetcar lines in red.  Elevated
  tracks in black.  Labels most buildings
  in Loop area. Map on
  alphanumeric grid.  Index of principal
  buildings, hotels, and theaters at right."
349,2034,Map of the City of Chicago.,"Riley, J.D.","34.25""x79.5""",1911,Chicago," Map of
  Chicago showing streets and railroads. 
  Lakes and rivers in blue.  Parks
  and boulevards in green.  Wards
  outlined and numbered in red.  Shows
  names of recently annexed areas. Scale:
  3"" = 1 mile"
350,2035,New Standard Map of Chicago (12 parts),Rand McNally and Co.,"In 12 pieces totaling
  132""x78""",1911,Chicago," Map of
  Chicago streets with numbering, railroads. 
  N to Central, S to 158th, SW to Orland Park, NW to Des Plaines.  Parks and boulevards in green.  Shows Indian boundary lines. Map on
  alphanumeric grid.  Right margin: index
  to railroad depots. Scale:
  4""=1 mile"
351,2036,New Standard Map of Chicago,Rand McNally and Co.,"132""x78""",1911,Chicago," Map of
  Chicago streets with numbering, railroads. 
  N to Central, S to 158th, SW to Orland Park, NW to Des Plaines.  Parks and boulevards in green.  Shows Indian boundary lines. Map on
  alphanumeric grid.  Right margin: index
  to railroad depots. Scale:
  4""=1 mile"
352,2242,"New House Number System for the City of Chicago.
  (2 copies)",Chicago. Bureau of Maps & Plats.,"24.25""x35.25""",1911, ," Copy #1 on display [?] Map
  showing city of Chicago with grid of major streets and axis.  Names recent annexations and general areas
  of the city.  Border list changes in
  street naming.  Additional notes on
  house number ordinance, base lines, prefixes, and diagonal streets on left
  side."
353,2666,"Map Showing Location of Certain Historical
  Sites",Greely-Howard & Surveyors,"55""x74.5""",1911,Chicago," Map
  showing major historic landmarks. 
  Shows major streets S to 39th, W to 48th Ave, N to Devon.  Indian trails and landmarks in red.  Numbered legend on right side, including
  founding dates. ""Compiled
  by Caroline M. McIlvane for the Chicago Historical Society / Exhibited at the
  Chicago Welfare Exhibition"""
354,2037,New Street Number Guide Map of Chicago.,Rand McNally and Co.,"Double-sided.  In 4 pieces totaling 31""x35""",1913,Chicago," Map of
  Chicago showing streets.  Elevated
  train lines in red. Parks and boulevards in green.  City borders in red.  N to Howard, W to Lathrop, S to 138th. Map on
  alphanumeric grid. Right
  margin: Legend and Index to railroads. 
  Notes  Team Tracks."
355,2038,New Standard Map of Chicago,Rand McNally and Co.,"48""x85.5""",1913,Chicago," Map
  showing streets, streetcar, and railway lines. N to Central, NW to Des
  Plaines, SW to Orland Park, S to 115th. Also shows stream tracks, parks and
  boulevards in green, ward borders in red.   Map on
  alphanumeric grid. Index to railroads on right, along with handwritten notes
  from Cook County Auxiliary Board. Scale:
  2.5"" = 1 mile"
356,2040,Map of the City of Chicago.,"Riley, J.D./ Department of Public Works","18.5""x29""",1914,Chicago," Map of
  Chicago showing major streets, parks and boulevards, Indian boundaries
  rivers, lakes, canals, channels."
357,3253,Sectional Map of the City of Chicago,"Riley, J.D./ Department of Public Works","32""x52""",1914,Chicago," Map of
  Chicago showing streets and railways, parks, boulevards, rives and
  canals.  Numbers wards, gives townships
  at borders."
358,no number,Map of the Chicago Region,The Prairie Club of Chicago,"11""x9""",1915,Chicago," Map
  showing rivers and canals and railway lines in Chicago area.  SE to Indiana Dunes and Chesterton.  SW to Joliet. N to Waukegan.  Labels suburbs.  Chicago borders in dotted line. ""Insert
  for 1915 Yearbook"""
359,2041,City of Chicago. (post card),Rand McNally and Co.,On three-sided folder postcard.,1915,Chicago," Total
  size: 7.25"" x 11"" Map
  showing parks and boulevards in green, street car lines in red, elevators
  roads and stations in black.  Also
  notes playgrounds, gold clubs, and bathing beaches.  Also has drawings of New Kimball Hall Bldg.
  and W.W. Kimball & Co. Factory Upper
  right: Insert map of Loop area, showing rail lines, parks, and rail
  depots.  S to 12th, W to Des Plaines, N
  to Kinzie."
360,2042,"Vacation and Sight Seeing District Served by
  Chicago Surface Lines",National Map Company,"Laminated. 11""x18.5""",1915,Chicago," Map
  showing major streets. N to Bryn Mawr, W to Crawford, S to 95th. Parks and
  boulevards in green. Surface lines in red. Upper
  right: Insert map of city center, N to Grand, W to Clinton, S to 12th. Landmark
  locations are numbered.  Legend on
  reverse (difficult to read) Center
  right: Drawing of Municipal Pier Scale:
  1"" = 1 mile"
361,3245,Routes to Speedway Park.,The Automobile Blue Book Pub. Co.,"11""x16""",1915,Chicago," Map
  showing Chicago and surrounding area, highlighting major streets with
  distances to and from Speedway Park. Reverse
  side: Information on Routes to Speedway Park, outlined by touring bureau as
  the Automobile Blue Book.  Explains
  routes from nearby points.  Contains
  map of routes from surrounding states, SE to Cincinnati OH, SW to Hannibal
  IL, NW to La Crosse WI, NE to Mt. Pleasant MI."
362,2044,Guide Map Chicago,Clason Map Co.,"Map of Chicago showing streets,
  parks and boulevards in green, streetcar and railway lines. City border,
  Union Stockyards, and Loop highlighted orange.",1916,Chicago," Points
  out ""Chicago's $5m Municipal Pier, home of the Pageant of Progress
  Exhibition"" Insert
  maps: Chicago central business district showing depots, hotels, and public
  buildings. Diagram illustrating Chicago street numbering system and showing
  use of Marginal Key. Also contains information on finding house numbers. Map on
  alphanumeric grid.  Border also lists
  street names and address numbers. 
  Street index at bottom right, continued on right side. From:
  Clason's Wise Owl Guide to Chicago. Clason Map Co. Gift:
  Chicago Daily News, May 1960"
363,2045,Guide Map Chicago,Clason Map Co.,"Map of Chicago showing streets,
  parks and boulevards in blue, streetcar and railway lines. City border, Union
  Stockyards, and Loop highlighted orange.",1916,Chicago," Points
  out ""Chicago's $5m Municipal Pier, home of the Pageant of Progress
  Exhibition"" Insert
  maps: Chicago central business district showing depots, hotels, and public
  buildings. Diagram illustrating Chicago street numbering system and showing
  use of Marginal Key. Also contains information on finding house numbers. Map on
  alphanumeric grid.  Border also lists
  street names and address numbers. 
  Street index at bottom right, continued on right side. Backside
  contains information about Chicago tourist and recreational sites."
364,3186,Road Map of Chicago and Vicinity (2 copies),Poole Bros.,"Copy #1 with guide map booklet
  attached",1916,Chicago," Copy #2
  in 2 pieces, laminated. Both
  maps: 22""x27"" Map
  showing major automobile roads in red, other roads in black, plus railways
  and electric lines.  Distance from city
  center in 5-mile increments. SE to Schererville IN, SW to Norway IL, NW to
  Darien IL, NE to Kenosha. Map on
  alphanumeric grid. Street index on right side. Scale:
  1"" = 3 miles Gift:
  Arthur Rhenisch, 7/1961"
365,2046,New Street Number Guide Map of Chicago.,Rand McNally and Co.,"Double-sided.  In 2 pieces totaling 21""x26""",1918,Chicago," Map of
  Chicago showing streets and rail lines. Parks and boulevards in green.  City borders in red.  N to Howard, W to Lathrop, S to 138th. Map on
  alphanumeric grid. Right
  margin: Legend and Index to railroads. 
  Notes  Team Tracks and Merchant
  Lighterage Co.'s docks Scale:
  1.75"" = 1 mile"
366,2047,Kirk's Map of Chicago. (47 pages),Kirk,"Map of Chicago in  46 pieces, plus overview/legend piece.  Each piece 24""x19""",1920,Chicago," Overview
  map shows borders of city and suburbs, divided into numbered sections
  corresponding to numbered map pages. Individual pieces show streets, rail
  lines and stations.  Shows topographic
  detail of parks. Some handwritten notes clarifying addresses and street
  names."
